2023-06-17 16:46:59,864 - INFO: Server started.
2023-06-17 16:46:59,864 - INFO: Action: Sending command - Command: command
2023-06-17 16:47:00,766 - ERROR: No response from drone for command: command
2023-06-17 16:47:00,767 - INFO: Action: Initiating Drone at 192.168.10.1
2023-06-17 16:47:01,769 - INFO: Action: Sending command - Command: streamon
2023-06-17 16:47:02,672 - ERROR: No response from drone for command: streamon
2023-06-17 16:47:02,672 - INFO: Action: Turning Stream On at 192.168.10.1
2023-06-17 16:47:02,673 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,674 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,678 - INFO: Starting video streaming.
2023-06-17 16:47:02,678 - INFO: Setting drone speed to 100 cm/s
2023-06-17 16:47:02,679 - INFO: Action: Sending command - Command: speed 100
2023-06-17 16:47:02,890 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,890 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,891 - INFO: Received video frame of size 840 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,915 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,916 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,916 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,916 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,919 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,919 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,920 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,920 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,920 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,921 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,921 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,922 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,929 - INFO: Received video frame of size 703 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,951 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,951 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,952 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,952 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
